id,name,tag,x,y,district,IDDIST,direction,stars,n_reviews,min_price,max_price,platform
156956,Chili's,Restaurante tex-mex,-12.0902939,-77.0046894,SAN BORJA,150130,"Carpaccio 231, San Borja 15036",42,2399, , ,googleplaces
209596,Chifa Wang Xiang Yuan,Restaurante chino,-12.1023738,-77.0012697,SAN BORJA,150130,"Av. Aviación 3219, San Borja 15037",43,1575, , ,googleplaces
39287,Burger King,Restaurante de comida rápida,-12.1100619,-77.0020318,SAN BORJA,150130,"Real Plaza Primavera, Av. Angamos 2681, San Borja 15036",46,19, , ,googleplaces
29897,La Loren Sangucheria,Hamburguesería,-12.1085234,-77.0039167,SAN BORJA,150130,"Plaza Marquina 415, San Borja 15036",41,161, , ,googleplaces
281806,Las Zarzas,Restaurante especializado en pollo,-12.099935,-76.9949039,SAN BORJA,150130,"Av San Luis 2596, San Borja 15037",41,338, , ,googleplaces
38234,Marié Restaurante,Restaurante peruano,-12.089938,-76.995791,SAN BORJA,150130,"Av. De Las Artes Nte. 1028, San Borja 15037",42,495, , ,googleplaces
196855,Chifa Lung Wha,Restaurante chino,-12.0970217,-77.0020773,SAN BORJA,150130,"Av. Aviación 2841, San Borja 15037",44,768, , ,googleplaces
265714,Roky's,Restaurante especializado en pollo,-12.100608,-77.0015215,SAN BORJA,150130,"Av. Aviación 3095, San Borja 15037",41,1955, , ,googleplaces
179360,Grill City,Restaurante de comida rápida,-12.0920711,-77.0032878,SAN BORJA,150130,"Av. Aviación 2576, San Borja 15036",41,763, , ,googleplaces
116425,Village Restaurant,Restaurante,-12.0911022,-77.0051773,SAN BORJA,150130,"Jr. Ucello 276, San Borja 15036",42,169, , ,googleplaces
175523,Chifa Hon Fok,Restaurante,-12.100831,-76.993724,SAN BORJA,150130,"Av San Borja Sur 1002, San Borja 15037",39,479, , ,googleplaces
274339,Rustica,Restaurante,-12.0899069,-77.0035291,SAN BORJA,150130,"Av. Aviación 2482, San Borja 15036",39,1254, , ,googleplaces
80771,Chifa A Su Gusto,Restaurante chino,-12.0960712,-77.0026329,SAN BORJA,150130,"Av. Aviación 2786, San Borja 15036",42,552, , ,googleplaces
44481,Pollos Lyky's,Restaurante,-12.0900066,-77.0035588,SAN BORJA,150130,"Av. Aviación 2472, San Borja 15036",42,253, , ,googleplaces
58956,Chifa Hong Fu,Restaurante chino,-12.0914107,-77.0033653,SAN BORJA,150130,"Av. Aviación 2524, San Borja 15036",41,753, , ,googleplaces
222179,Irashiai,Restaurante japonés,-12.094814,-77.002856,SAN BORJA,150130,"Av. Aviación 2712, San Borja 15036",40,189, , ,googleplaces
150093,Pizza Hut,Pizzería,-12.1106899,-77.001773,SAN BORJA,150130,"Centro Comercial Real Plaza Primavera, Av. Angamos 2681, San Borja 15036",41,301, , ,googleplaces
187090,Restaurante Otani,Restaurante,-12.102935,-77.0016344,SAN BORJA,150130,"Av. Aviación 3284, San Borja 15036",50,2, , ,googleplaces
295460,Mr Steak,Restaurante especializado en filetes,-12.0987653,-76.9950703,SAN BORJA,150130,"Av San Luis 2498, San Borja 15037",40,232, , ,googleplaces
205701,La Isla del Encanto,Restaurante,-12.08305,-76.9931239,SAN BORJA,150130,"Avenida Agustín de la Rosa Toro 1145, San Borja 15021",41,352, , ,googleplaces
241857,La Piccolina,Restaurante italiano,-12.0902178,-77.0038708,SAN BORJA,150130,"Calle Morelli 235, San Borja 15036",42,360, , ,googleplaces
203122,Cevichería El Molinero I,Marisquería,-12.0827365,-76.9934857,SAN BORJA,150130,"Avenida Agustín de la Rosa Toro, San Borja 15021",41,1464, , ,googleplaces
247409,Chifa Shin Wing,Restaurante cantonés,-12.102443,-76.994526,SAN BORJA,150130,"Av San Luis 2664, San Borja 15037",42,401, , ,googleplaces
112490,San Café,Restaurante,-12.0887927,-77.0032788,SAN BORJA,150130,"Av. Aviación 2415, San Borja 15037",41,192, , ,googleplaces
152692,Caravana,Restaurante,-12.089751,-77.0035599,SAN BORJA,150130,"Av. Aviación 2462, San Borja 15036",40,1324, , ,googleplaces
225064,Mamma Tomato San Borja,Pizzería,-12.1114295,-76.9927166,SANTIAGO DE SURCO,150140,"Av. Primavera 132 San Borja San Borja, LIMA 41",40,97, , ,googleplaces
111199,Nori,Restaurante,-12.0920875,-76.9956725,SAN BORJA,150130,"Av San Luis 2145, Cercado de Lima 15037",40,1190, , ,googleplaces
238244,Los 3 Mariscos - San Borja,Restaurante,-12.095303,-77.0023049,SAN BORJA,150130,"Av. Aviación 2741, San Borja 15046",41,8, , ,googleplaces
259721,El Perejil,Restaurante,-12.0896101,-77.0031406,SAN BORJA,150130,"Georges Seurat, San Borja 15037",39,284, , ,googleplaces
83685,Sushi House,Restaurante de sushi,-12.0897483,-76.9965098,SAN BORJA,150130,"Av. San Luis 1994 San Borja Municipalidad Metropolitana de Lima, LIMA 41",40,91, , ,googleplaces
113738,El Lomito,Restaurante peruano,-12.0988519,-77.001818,SAN BORJA,150130,"Av. Aviación 2953, San Borja 15037",38,3771, , ,googleplaces
60678,Cevicheria Pulpo Marino,Marisquería,-12.0911111,-77.0027778,SAN BORJA,150130,"Av. Aviación 2511, San Borja 15037",42,820, , ,googleplaces
256627,Restaurant Fuente de Soda Susy,Restaurante peruano,-12.1048863,-77.0014279,SAN BORJA,150130,"Av. Aviación 3390, San Borja 15036",40,56, , ,googleplaces
86613,Restaurante El Bosque,Restaurante peruano,-12.1057288,-76.9907991,SAN BORJA,150130,"Jr Paseo del Bosque 489, San Borja 15037",41,154, , ,googleplaces
276074,Han Kook Kwan,Restaurante coreano,-12.0943519,-76.9957183,SAN BORJA,150130,"Av San Luis 2256, San Borja 15037",45,267, , ,googleplaces
143305,A la Carrera - Barra fusión,Restaurante,-12.1116731,-77.0046078,SAN BORJA,150130,"Av. Angamos 2521, San Borja 15036",50,5, , ,googleplaces
110977,Tumbes Mar Pescados y Mariscos,Marisquería,-12.0832715,-76.9930458,SAN BORJA,150130,"Avenida Agustín de la Rosa Toro 1149, San Borja 15021",41,567, , ,googleplaces
262646,Green's Pizza,Restaurante,-12.107584,-77.001283,SAN BORJA,150130,"Av. Aviación 3528, San Borja 15074",39,197, , ,googleplaces
229410,Pez Mancora - Barra Cevichera,Restaurante,-12.0874577,-76.9963961,SAN BORJA,150130,"Av San Luis 1903, Lima 15037",42,137, , ,googleplaces
24823,Costa Azul - Cevicheria,Restaurante,-12.0817551,-76.9932736,SAN BORJA,150130,"Avenida Agustín de la Rosa Toro 1047, San Borja 15021",42,108, , ,googleplaces
100338,Tanagi y embarcadero 41,Restaurante,-12.0913229,-77.0033273,SAN BORJA,150130,"Av. Aviación 2522, San Borja 15036",42,358, , ,googleplaces
53891,Otto Grill,Restaurante de comida rápida,-12.0886523,-77.0047186,SAN BORJA,150130,"Av. Javier Prado Este 2050, San Borja 15036",15,4, , ,googleplaces
